match,home_odds,draw_odds,away_odds,actual_home,actual_away
Mexico vs South Africa,1.42,4.40,7.27,2,0
South Korea vs Czech Republic,2.57,2.95,2.84,2,1
Canada vs Bosnia and Herzegovina,1.76,3.51,4.62,1,1
Qatar vs Switzerland,13.87,6.22,1.26,1,1
Brazil vs Morocco,1.62,3.77,5.42,1,1
Haiti vs Scotland,6.82,4.60,1.44,0,1
USA vs Paraguay,1.93,3.43,3.82,4,1
Australia vs Turkey,4.68,3.68,1.66,2,0
Germany vs Curacao,1.03,16.50,42.00,7,1
Ivory Coast vs Ecuador,3.53,2.77,2.36,1,0
Netherlands vs Japan,1.91,3.50,3.78,2,2
Sweden vs Tunisia,1.86,3.30,4.25,5,1
Belgium vs Egypt,1.58,3.98,5.37,1,1
Iran vs New Zealand,1.86,3.57,4.39,2,2
Spain vs Cape Verde,1.09,9.85,29.50,0,0
Saudi Arabia vs Uruguay,7.07,4.35,1.39,1,1
